Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1622,29519,NS de la Encarnacion,,Luanda,"Hispaniola, unspecified",,159,"Orta, Miguel de"
1621,29520,Espírito Santo de Nazaré,Lisbon,Luanda,Veracruz,,,"Costa, Custódio Lobo da<br/> Azevedo, Luis Vaz de"
1609,29521,NS del Rosario,"Portugal, port unspecified","West Central Africa and St. Helena, port unspecified",Veracruz,,167,"Carvalho, Sebastian"
1621,29523,Espiritu Santo,San Lucar,"West Central Africa and St. Helena, port unspecified",Cartagena,,,"Francisco, Manuel"
1615,29524,S Antônio,,Luanda,Veracruz,,172,"Blanco, Carlos Alfonso"
1656,29525,Jesus Maria y José,Cadiz,"Senegambia and offshore Atlantic, port unspecified","New Spain, port unspecified",,,"Arossemena, Martin de<br/> Álvares, José"
1615,29526,S Francisco,,Luanda,Veracruz,,120,"Méndez, Enrique"
1616,29527,S Diego,San Lucar,Luanda,Veracruz,,68,"Vitória, Matias de"
1619,29528,S Antônio,Lisbon,Luanda,Veracruz,,185,"Nuñez Franco, Juan"
1577,29530,S Vicente,,Cape Verde Islands,Cartagena,,,"Santa Maria, Luís de<br/> Vizcaino, Diego"
1564,29531,,,"Sierra Leone, port unspecified",Cartagena,,,"Rodriguez, Francisco"
1617,29532,NS del Amparo y San Antônio,Lisbon,Ardra,Veracruz,,,"Cardoso, Jácome"
1621,29534,San Antonio,,Luanda,Cartagena,,,"Acosta Moreno, Joan de"
1623,29536,NS de la Concepción,Lisbon,Luanda,Cartagena,,175,"Saraiva, Nuno Cardoso"
1605,29538,S Antônio,Lisbon,"Africa, port unspecified",Havana,,215,"Gomes, Juan"
1601,29540,,Seville,"Senegambia and offshore Atlantic, port unspecified",Veracruz,,,
1601,29541,,Seville,"Senegambia and offshore Atlantic, port unspecified",Veracruz,,,
1568,29544,Concepción,,"Africa, port unspecified",,,,
1559,29545,S Antônio,,"Africa, port unspecified",Veracruz,,,"Gomes, Manoel"
1557,29546,,,São Tomé,"Hispaniola, unspecified",,,"Rodrigues, Bento"
1557,29547,,,São Tomé,"Hispaniola, unspecified",,,"Rojas, Francisco de"
1633,29548,Buen Viaje,Lisbon,Luanda,Veracruz,,103,"Manoel, Diego<br/> Garcez, Simón"
1595,29549,S Francisco,,"Africa, port unspecified",Cartagena,,,"Méndez, Pedro"
1616,29551,,,Portuguese Guinea,Cartagena,,160,"Lemos, Pedro Vaz de"
1616,29553,,,Ardra,"New Spain, port unspecified",,300,"Hurtado, Josepe"
1615,29555,San Pedro,,Portuguese Guinea,Cartagena,,176,"Pereira, Antônio"
1616,29556,,,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Pimienta, Francisco Diaz"
1616,29557,S. Luis (a) S. Nicolás,,Luanda,"Trujillo, Honduras",,118,"Melo, Duarte de"
1616,29558,,,Luanda,Guatemala,,200,"Acevedo, Manoel de<br/> Viera, Domingo de"
1616,29559,San Antonio,,Portuguese Guinea,Cartagena,,96,"Rodriques, Felipe"
1620,29561,NS de Consolación,,Luanda,Buenos Aires,,181,"Acosta, Gonçalo"
1656,29563,NS de la Popa,Cadiz,"Senegambia and offshore Atlantic, port unspecified","New Spain, port unspecified",,,"Henriques de Apostre, Juan<br/> Yrigoyen, Martín de"
1656,29564,NS de Regla,Cadiz,"Senegambia and offshore Atlantic, port unspecified","New Spain, port unspecified",,,"Henriques, Juan<br/> Jeronimo Vendugo, Miguel"
1652,29565,NS de Aranjaju,,"Africa, port unspecified",,,,"Iztueta, Juan de"
1653,29567,NS del Buen Sucesso y El Santo Cristo,Seville,Cacheu,"New Spain, port unspecified",,,"Velasco, Pedro de"
1628,29568,S Pedro,Lisbon,"West Central Africa and St. Helena, port unspecified","Spanish Circum-Caribbean,unspecified",,242,"Silva, Jacinto da"
1567,29571,Madalena,Seville,Cape Verde Islands,"Hispaniola, unspecified",,18,"Morales Bueno, Pedro de<br/> Rebolo, Francisco"
1588,29575,S Francisco,Lisbon,São Tomé,San Domingo (a) Santo Domingo,,,"Ramos, Antonio"
1588,29577,S Maria del Puerto,Seville,Cape Verde Islands,San Domingo (a) Santo Domingo,,,"Yriarte, Pedro de"
1573,29582,S Sebastián,,Cape Verde Islands,Cartagena,,,"Rodriguez, Diogo"
1657,29583,NS de Guadalupe,Cadiz,Luanda,"Hispaniola, unspecified",,225,"Pluma Campodonego, Juan Bautista<br/> Velez, Juan"
1621,29586,NS da Ajuda,San Lucar,Luanda,Veracruz,,,"Espinosa, Pedro Delgado de,<br/> Correa, Gonçalo Dias"
1621,29587,Santiago,San Lucar,Luanda,Veracruz,,330,"Vaz de Acevedo, Sebástian"
1635,29590,Santana (a) NS Concepción y S Catalina,Lisbon,Luanda,"Spanish Americas, port unspecified",,224,"Vicenzio, Juan<br/> Veato, Lázaro<br/> Leyton, Manoel"
1624,29591,S Juan Bautista,Cadiz,Luanda,Cartagena,,142,"Vicente, Juan<br/> Coello, Pero"
1621,29593,NS del Monte Carmelo,San Lucar,Portuguese Guinea,Cartagena,,,"Pinero, Andrea"
1623,29596,Concepción,San Lucar,Portuguese Guinea,Cartagena,,150,"González, Pedro"
1623,29597,S Pedro,San Lucar,Luanda,Cartagena,,190,"Sosa, Nicolas de"
1625,29598,,,Portuguese Guinea,Cartagena,,26,"Santa Maria, Luís de"
1626,29599,Buen Sucesso y El Angel Sn Gabriel,San Lucar,"Senegambia and offshore Atlantic, port unspecified",Cartagena,,54,"Suárez, Juan"
1631,29601,NS del Rosario (a) NS Monserrat,Lisbon,Luanda,Cartagena,,150,"González, Alonso<br/> Fonseca, Gonzalo de"
1621,29602,NS da Candelaria,San Lucar,Luanda,Cartagena,,220,"Alvarado, Pedro de"
1628,29604,S Antônio,Lisbon,Cacheu,Cartagena,,112,"Lourenço, Vicente"
1624,29606,S Ursula,,"Africa, port unspecified",Cartagena,,,"Rodriguez, Salvador"
1628,29607,NS del Rosario,Lisbon,Portuguese Guinea,Cartagena,,80,"Gómez de Castro, Juan"
1629,29609,NS del Livramento,,Portuguese Guinea,Cartagena,,,"Diaz, Sebastian"
1629,29612,NS de Benavento,,Portuguese Guinea,Cartagena,,,"Gómez, Alonso"
1632,29613,NS de la Concepcion,San Lucar,"West Central Africa and St. Helena, port unspecified",Cartagena,,116,"Barrios, Francisco"
1631,29614,S Antônio,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,150,"Barroso, Roque"
1633,29616,NS del Rosario,Seville,Luanda,Cartagena,,100,"Pinto de Fonseca, Manoel"
1633,29617,Santana,Cadiz,Luanda,Cartagena,,100,"López, Gaspar"
1636,29618,NS de la Concepción,Lisbon,Luanda,Cartagena,,127,"Rodriguez, Juan"
1636,29619,NS del Buen Viaje,Lisbon,Luanda,Cartagena,,130,"Botello, Miguel"
1635,29622,S Francisco Xavier,Lisbon,Luanda,Cartagena,,141,"Araújo, Agustin de"
1632,29623,S Antonio y S Luis,,Portuguese Guinea,Cartagena,,116,"Pereira, Luís Antonio"
1632,29624,S Pedro y El Pájaro Volante,Cadiz,Luanda,Cartagena,,104,"Acevedo, Juan de"
1632,29625,NS de la Muela,Seville,Luanda,Cartagena,,120,"Olivera, Diego de<br/> Mesa, Rodrigo"
1633,29626,NS del Rosario,Lisbon,Luanda,Cartagena,,101,"Váez, Pedro"
1633,29627,S Antônio,Seville,"West Central Africa and St. Helena, port unspecified",Cartagena,,109,"Nieto, Manuel"
1633,29628,NS de Loreto,Seville,"Senegambia and offshore Atlantic, port unspecified",Cartagena,,91,"Rodrigues, Pedro"
1633,29629,S Andrés,Seville,"West Central Africa and St. Helena, port unspecified",Cartagena,,126,"Mendoça, Juan"
1633,29630,NS Del Rosario,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,155,"Alvarez, Juan"
1633,29631,NS del Rosario,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,98,"Farias, Manuel de"
1633,29632,S Francisco,Seville,"West Central Africa and St. Helena, port unspecified",Cartagena,,79,"Ferrera, Antonio"
1636,29633,S Pedro,Lisbon,Luanda,Cartagena,,141,"González, Alvaro<br/> Vieira, Antônio"
